path,label,label_num,split,group_id,orig_width,orig_height,orig_aspect_ratio,file_size,file_size_per_pixel,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness_mean,brightness_std,saturation_mean,saturation_std,colorfulness,entropy,laplacian_var,edge_density,noise_estimate,low_freq_energy,high_freq_energy,high_low_freq_ratio
D:\DS107-ImageDetector\01-data\cleaned\real\-9hoGk3b0k0.png,real,0,train,-9hoGk3b0k0,1067.0,1600.0,0.666875,2069218.0,1.2120536551077787,75.51378631591797,93.557861328125,82.51546478271484,59.223175048828125,51.51931381225586,59.033267974853516,86.90528492647059,53.528116663489484,113.69094669117646,54.38867796885087,30.81624984741211,7.065737247467041,796.0064033687817,0.081640625,7.516101837158203,216853.296875,135.2532501220703,0.0006237085258612768
D:\DS107-ImageDetector\01-data\cleaned\real\-HYhzdlSO-w.png,real,0,train,-HYhzdlSO-w,1280.0,849.0,1.507656065959953,1723096.0,1.5855933451118964,165.21839904785156,160.37950134277344,149.17684936523438,54.74977493286133,47.84529113769531,53.23093795776367,160.55392474112426,50.15482367314659,36.8096801035503,29.374163916235023,20.619476318359375,7.130624771118164,3823.828622784536,0.15694341715976332,16.271766662597656,580459.0,416.7611999511719,0.0007179855940749729
D:\DS107-ImageDetector\01-data\cleaned\real\-IpnUjjxerA.png,real,0,train,-IpnUjjxerA,1067.0,1600.0,0.666875,2239617.0,1.3118656279287721,93.74800109863281,94.67058563232422,78.85537719726562,62.713680267333984,58.94231414794922,67.45470428466797,92.579296875,60.65985019138202,85.41792279411764,59.31175246309992,21.846248626708984,7.308524131774902,1213.8119538599562,0.10271139705882353,9.410669326782227,254464.84375,176.5889129638672,0.0006939619255905963
D:\DS107-ImageDetector\01-data\cleaned\real\-K0BuzIKMqU.png,real,0,train,-K0BuzIKMqU,1067.0,1600.0,0.666875,2996011.0,1.7549267806935334,69.80268859863281,104.08547973632812,89.37189483642578,68.1434097290039,60.30189895629883,69.63153076171875,92.18214613970588,62.80439352276026,115.51856617647059,64.71164386714548,37.08316421508789,7.087490081787109,2345.235917452908,0.17302389705882354,12.33646297454834,255024.59375,290.6263122558594,0.0011396011183954606
D:\DS107-ImageDetector\01-data\cleaned\real\-lF9mpr57JE.png,real,0,train,-lF9mpr57JE,1067.0,1600.0,0.666875,2074862.0,1.2153596532333646,27.769485473632812,31.88690185546875,47.39689636230469,36.23231506347656,25.927011489868164,36.11687088012695,32.41615349264706,26.33026508543139,146.05521599264705,55.7134830607487,39.496761322021484,5.574051856994629,565.3846349358477,0.05376838235294118,6.397852420806885,34903.84765625,68.26861572265625,0.0019559051596540044
D:\DS107-ImageDetector\01-data\cleaned\real\-qTABa0H33c.png,real,0,train,-qTABa0H33c,1280.0,853.0,1.5005861664712778,752748.0,0.6894306858147714,89.17118835449219,74.7066650390625,91.35305786132812,57.041290283203125,46.53614044189453,49.38707733154297,80.92545955882353,49.15732738124345,83.09779411764706,32.016799569802515,29.188995361328125,7.300795555114746,49.88943265974315,0.00857077205882353,1.9554778337478638,189427.734375,24.94033432006836,0.00013166147186606788
D:\DS107-ImageDetector\01-data\cleaned\real\-ww12tmQLOk.png,real,0,train,-ww12tmQLOk,900.0,1600.0,0.5625,1356345.0,0.94190625,74.74723052978516,70.63788604736328,67.98182678222656,77.8150634765625,70.60952758789062,67.32888793945312,71.61037868923611,71.69207263557489,85.07196723090277,49.74122435963756,27.99753189086914,6.233187675476074,1428.8656184820481,0.12212456597222222,11.372631072998047,202053.671875,298.818359375,0.0014789058600224224
D:\DS107-ImageDetector\01-data\cleaned\real\-x4DdZZtd88.png,real,0,train,-x4DdZZtd88,1067.0,1600.0,0.666875,2997208.0,1.7556279287722587,105.47566986083984,94.91436004638672,81.86566925048828,61.12653732299805,56.783714294433594,55.42483901977539,96.58134191176471,56.52424202766645,74.90691636029412,53.09598210914408,37.11784744262695,7.580746173858643,4086.366303168168,0.2099954044117647,16.643495559692383,252772.03125,419.9898376464844,0.0016615360313779483
D:\DS107-ImageDetector\01-data\cleaned\real\00000003252.png,real,0,train,00000003252,640.0,415.0,1.5421686746987953,294288.0,1.108012048192771,222.7801971435547,188.96446228027344,86.59758758544922,62.90092468261719,53.41930389404297,30.25326156616211,187.41185052710844,51.70024677473038,152.52986163403614,35.51745554750449,85.24946594238281,6.860659122467041,970.238488781935,0.057887801204819275,9.072402954101562,830973.4375,125.14701843261719,0.00015060291073698212
D:\DS107-ImageDetector\01-data\cleaned\real\00000003256.png,real,0,train,00000003256,750.0,496.0,1.5120967741935485,829006.0,2.2285107526881722,74.6562271118164,75.9662094116211,66.34294128417969,68.19942474365234,62.4778938293457,60.052085876464844,74.46983635355029,62.26110605515007,116.66577292899409,70.1558076656357,40.04167938232422,7.507674217224121,6784.547777719707,0.24158653846153846,21.757627487182617,173860.15625,776.1177368164062,0.004464034506562579
D:\DS107-ImageDetector\01-data\cleaned\real\00000003266.png,real,0,train,00000003266,640.0,438.0,1.461187214611872,326981.0,1.1664561929223745,143.6244354248047,148.19261169433594,162.3270721435547,73.0418930053711,65.8133773803711,64.92588806152344,148.43095982142856,65.4961231913508,74.72886160714286,61.77287739205086,45.04266357421875,7.815845012664795,2389.5429918367345,0.21892857142857142,15.2718505859375,572900.0,594.9923095703125,0.0010385622439698064
D:\DS107-ImageDetector\01-data\cleaned\real\00000003267.png,real,0,train,00000003267,2048.0,1090.0,1.8788990825688074,3122965.0,1.3989772971616972,99.12652587890625,150.447265625,153.73538208007812,73.70062255859375,48.15916061401367,58.28900909423828,135.47032973345588,48.576204201441435,118.9146369485294,86.21370924707054,91.5688247680664,7.48148250579834,1814.9623214225044,0.10877182904411764,12.34807014465332,422281.71875,165.74539184570312,0.0003924995671996497
D:\DS107-ImageDetector\01-data\cleaned\real\00000003277.png,real,0,train,00000003277,800.0,529.0,1.5122873345935728,896582.0,2.118577504725898,125.38865661621094,127.1059341430664,108.41531372070312,65.81523132324219,69.54740905761719,66.03077697753906,124.46495931952663,66.77944094793959,59.56074334319526,49.24895725064484,37.651973724365234,7.893186569213867,4413.933148807322,0.27715883875739644,18.361223220825195,400869.71875,570.64697265625,0.0014235222716139262
D:\DS107-ImageDetector\01-data\cleaned\real\00000003280.png,real,0,train,00000003280,800.0,400.0,2.0,611451.0,1.910784375,117.06875610351562,125.2010498046875,131.9031982421875,45.59602737426758,53.602169036865234,70.49137115478516,123.53207397460938,52.15857587843444,53.40313720703125,31.476167198152588,34.403564453125,7.572249412536621,3087.135226354003,0.19232177734375,14.751786231994629,361947.5,263.9460144042969,0.0007292383961880924
