path,label,width,height,aspect_ratio,group_id,split
D:\DS107-ImageDetector\01-data\cleaned\real\-9hoGk3b0k0.png,real,1067,1600,0.667,-9hoGk3b0k0,train
D:\DS107-ImageDetector\01-data\cleaned\real\-HYhzdlSO-w.png,real,1280,849,1.508,-HYhzdlSO-w,train
D:\DS107-ImageDetector\01-data\cleaned\real\-IpnUjjxerA.png,real,1067,1600,0.667,-IpnUjjxerA,train
D:\DS107-ImageDetector\01-data\cleaned\real\-K0BuzIKMqU.png,real,1067,1600,0.667,-K0BuzIKMqU,train
D:\DS107-ImageDetector\01-data\cleaned\real\-lF9mpr57JE.png,real,1067,1600,0.667,-lF9mpr57JE,train
D:\DS107-ImageDetector\01-data\cleaned\real\-qTABa0H33c.png,real,1280,853,1.501,-qTABa0H33c,train
D:\DS107-ImageDetector\01-data\cleaned\real\-ww12tmQLOk.png,real,900,1600,0.562,-ww12tmQLOk,train
D:\DS107-ImageDetector\01-data\cleaned\real\-x4DdZZtd88.png,real,1067,1600,0.667,-x4DdZZtd88,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003252.png,real,640,415,1.542,00000003252,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003256.png,real,750,496,1.512,00000003256,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003266.png,real,640,438,1.461,00000003266,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003267.png,real,2048,1090,1.879,00000003267,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003277.png,real,800,529,1.512,00000003277,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003280.png,real,800,400,2.0,00000003280,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003284.png,real,1200,1512,0.794,00000003284,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003285.png,real,800,600,1.333,00000003285,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003286.png,real,800,600,1.333,00000003286,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003289.png,real,702,402,1.746,00000003289,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003290.png,real,800,1067,0.75,00000003290,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003291.png,real,620,413,1.501,00000003291,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003295.png,real,720,540,1.333,00000003295,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003297.png,real,992,661,1.501,00000003297,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003306.png,real,1024,657,1.559,00000003306,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003307.png,real,800,533,1.501,00000003307,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003325.png,real,800,482,1.66,00000003325,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003346.png,real,575,410,1.402,00000003346,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003350.png,real,665,491,1.354,00000003350,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003357.png,real,640,428,1.495,00000003357,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003372.png,real,1024,576,1.778,00000003372,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003375.png,real,700,400,1.75,00000003375,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003376.png,real,540,360,1.5,00000003376,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003377.png,real,1280,1067,1.2,00000003377,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003378.png,real,600,350,1.714,00000003378,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003383.png,real,1000,637,1.57,00000003383,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003388.png,real,800,500,1.6,00000003388,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003389.png,real,560,374,1.497,00000003389,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003401.png,real,2048,1150,1.781,00000003401,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003402.png,real,1200,768,1.562,00000003402,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003426.png,real,1080,720,1.5,00000003426,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003430.png,real,1024,697,1.469,00000003430,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003433.png,real,960,567,1.693,00000003433,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003435.png,real,600,400,1.5,00000003435,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003440.png,real,1920,1277,1.504,00000003440,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003443.png,real,1000,567,1.764,00000003443,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003447.png,real,1050,700,1.5,00000003447,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003449.png,real,615,411,1.496,00000003449,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003457.png,real,750,500,1.5,00000003457,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003461.png,real,700,453,1.545,00000003461,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003462.png,real,1200,835,1.437,00000003462,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003464.png,real,1920,1200,1.6,00000003464,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003471.png,real,700,544,1.287,00000003471,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003473.png,real,680,408,1.667,00000003473,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003490.png,real,1024,680,1.506,00000003490,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003497.png,real,700,500,1.4,00000003497,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003514.png,real,1024,1273,0.804,00000003514,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003520.png,real,700,446,1.57,00000003520,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003521.png,real,960,640,1.5,00000003521,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003527.png,real,600,376,1.596,00000003527,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003529.png,real,660,448,1.473,00000003529,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003531.png,real,1500,1093,1.372,00000003531,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003538.png,real,2048,1400,1.463,00000003538,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003540.png,real,1200,801,1.498,00000003540,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003541.png,real,1600,1200,1.333,00000003541,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003558.png,real,600,450,1.333,00000003558,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003561.png,real,640,470,1.362,00000003561,train
D:\DS107-ImageDetector\01-data\cleaned\real\00000003564.png,real,500,667,0.75,00000003564,train
