path,label,width,height,aspect_ratio,group_id,split
D:\DS107-ImageDetector\Data\cleaned\real\--hvfSmhwJI.png,real,1006,1600,0.629,--hvfSmhwJI,train
D:\DS107-ImageDetector\Data\cleaned\real\-9hoGk3b0k0.png,real,1067,1600,0.667,-9hoGk3b0k0,train
D:\DS107-ImageDetector\Data\cleaned\real\-IpnUjjxerA.png,real,1067,1600,0.667,-IpnUjjxerA,train
D:\DS107-ImageDetector\Data\cleaned\real\-K0BuzIKMqU.png,real,1067,1600,0.667,-K0BuzIKMqU,train
D:\DS107-ImageDetector\Data\cleaned\real\-lF9mpr57JE.png,real,1067,1600,0.667,-lF9mpr57JE,train
D:\DS107-ImageDetector\Data\cleaned\real\-qTABa0H33c.png,real,1280,853,1.501,-qTABa0H33c,train
D:\DS107-ImageDetector\Data\cleaned\real\-tYc6bODtxU.png,real,1280,857,1.494,-tYc6bODtxU,train
D:\DS107-ImageDetector\Data\cleaned\real\-ww12tmQLOk.png,real,900,1600,0.562,-ww12tmQLOk,train
D:\DS107-ImageDetector\Data\cleaned\real\-x4DdZZtd88.png,real,1067,1600,0.667,-x4DdZZtd88,train
D:\DS107-ImageDetector\Data\cleaned\real\038T7RVQ4kI.png,real,1067,1600,0.667,038T7RVQ4kI,train
D:\DS107-ImageDetector\Data\cleaned\real\045LW-yvecU.png,real,1280,1600,0.8,045LW-yvecU,train
D:\DS107-ImageDetector\Data\cleaned\real\0JImZyomXts.png,real,1280,720,1.778,0JImZyomXts,train
D:\DS107-ImageDetector\Data\cleaned\real\0yKEFhlU7AE.png,real,1280,853,1.501,0yKEFhlU7AE,train
D:\DS107-ImageDetector\Data\cleaned\real\0z-kc3GRBt4.png,real,1067,1600,0.667,0z-kc3GRBt4,train
D:\DS107-ImageDetector\Data\cleaned\real\10y2kh3TPzc.png,real,1280,858,1.492,10y2kh3TPzc,train
D:\DS107-ImageDetector\Data\cleaned\real\13Y32nmJUu8.png,real,1280,848,1.509,13Y32nmJUu8,train
D:\DS107-ImageDetector\Data\cleaned\real\183C-FYu-4M.png,real,1060,1600,0.662,183C-FYu-4M,train
D:\DS107-ImageDetector\Data\cleaned\real\19-YBzpNh5I.png,real,1200,1600,0.75,19-YBzpNh5I,train
D:\DS107-ImageDetector\Data\cleaned\real\1awelB371lw.png,real,1083,1600,0.677,1awelB371lw,train
D:\DS107-ImageDetector\Data\cleaned\real\1dou_Xnm400.png,real,1280,814,1.572,1dou_Xnm400,train
D:\DS107-ImageDetector\Data\cleaned\real\1zCQsOZ4gzA.png,real,1280,853,1.501,1zCQsOZ4gzA,train
D:\DS107-ImageDetector\Data\cleaned\real\2mTR9QnT-LY.png,real,1280,853,1.501,2mTR9QnT-LY,train
D:\DS107-ImageDetector\Data\cleaned\real\2qTTyhYCQac.png,real,1280,699,1.831,2qTTyhYCQac,train
